date,circulation,n_1_1,n_1_2,n_1_3,n_1_4,n_2_1,n_2_2,n_2_3,n_2_4,prize
18.06.2020 16:00,1937,1,7,9,19,3,6,9,10,670 659 294 
18.06.2020 13:00,1936,9,10,14,15,3,9,17,18,669 804 429 
18.06.2020 10:00,1935,6,11,12,14,2,3,5,18,668 755 042 
17.06.2020 22:00,1934,8,11,14,20,6,8,10,15,667 725 646 
17.06.2020 16:00,1933,1,5,10,13,9,11,18,20,666 930 816 
17.06.2020 13:00,1932,2,3,14,17,3,14,15,16,666 094 223 
17.06.2020 10:00,1931,2,7,9,18,11,12,18,19,664 998 571 
16.06.2020 22:00,1930,2,9,13,20,1,7,11,18,663 971 688 
16.06.2020 16:00,1929,1,3,16,19,6,9,17,20,663 173 305 
16.06.2020 13:00,1928,1,3,5,14,4,5,9,10,662 428 417 
16.06.2020 10:00,1927,1,6,7,17,1,8,11,17,661 284 308 
15.06.2020 22:00,1926,2,4,8,10,1,2,10,18,659 970 676 
15.06.2020 16:00,1925,1,3,5,14,3,5,6,8,659 397 474 
15.06.2020 13:00,1924,1,8,10,20,1,6,16,20,658 665 208 
15.06.2020 10:00,1923,5,6,17,18,9,12,16,19,657 714 368 
14.06.2020 22:00,1922,8,11,15,19,1,3,4,14,656 499 049 
14.06.2020 16:00,1921,1,2,16,18,2,3,13,19,655 746 551 
14.06.2020 13:00,1920,4,11,18,20,1,9,12,14,654 948 879 
14.06.2020 10:00,1919,6,10,14,19,4,7,13,17,654 115 096 
13.06.2020 22:00,1918,3,4,8,18,10,14,15,19,653 041 909 
13.06.2020 16:00,1917,3,8,13,17,3,4,6,19,652 426 700 
13.06.2020 13:00,1916,4,7,15,18,1,3,6,14,651 850 947 
13.06.2020 10:00,1915,3,11,15,19,1,2,3,17,650 900 550 
12.06.2020 22:00,1914,4,13,15,17,4,10,13,20,650 091 273 
12.06.2020 16:00,1913,12,16,18,20,1,3,8,18,649 449 439 
12.06.2020 13:00,1912,5,11,15,16,5,6,9,18,648 745 247 
12.06.2020 10:00,1911,2,8,9,18,3,12,19,20,647 950 798 
11.06.2020 22:00,1910,6,8,16,18,1,4,13,18,646 784 411 
11.06.2020 16:00,1909,1,3,15,20,3,5,8,13,646 077 527 
11.06.2020 13:00,1908,3,10,14,15,1,2,6,20,645 260 175 
11.06.2020 10:00,1907,3,4,14,16,2,8,10,20,644 290 757 
10.06.2020 22:00,1906,3,5,17,19,7,12,14,17,643 109 164 
10.06.2020 16:00,1905,1,11,12,14,5,6,8,17,642 380 604 
10.06.2020 13:00,1904,2,4,10,11,6,8,16,18,641 739 559 
10.06.2020 10:00,1903,6,8,13,20,3,6,13,15,640 974 270 
09.06.2020 22:00,1902,8,9,13,15,4,6,10,11,640 112 028 
09.06.2020 16:00,1901,7,12,14,20,2,8,14,18,639 481 839 
09.06.2020 13:00,1900,8,12,19,20,10,13,14,15,638 809 035 
09.06.2020 10:00,1899,13,15,17,18,4,13,18,19,637 841 925 
08.06.2020 22:00,1898,2,7,15,20,4,10,16,18,636 787 927 
08.06.2020 16:00,1897,2,5,8,15,8,11,13,14,636 236 113 
08.06.2020 13:00,1896,4,9,19,20,1,6,8,17,635 757 367 
08.06.2020 10:00,1895,7,11,15,18,7,9,10,12,634 893 747 
07.06.2020 22:00,1894,1,14,15,17,9,11,13,18,633 914 708 
07.06.2020 16:00,1893,6,8,9,13,1,8,16,17,633 225 749 
07.06.2020 13:00,1892,3,6,9,11,4,5,8,20,632 580 643 
07.06.2020 10:00,1891,6,9,18,20,4,8,15,16,631 919 714 
06.06.2020 22:00,1890,3,13,15,20,1,7,10,13,630 928 437 
06.06.2020 16:00,1889,1,8,9,15,3,5,6,10,630 303 038 
06.06.2020 13:00,1888,4,5,15,19,4,10,19,20,629 730 111 
06.06.2020 10:00,1887,5,6,7,15,1,2,5,13,628 726 022 
05.06.2020 22:00,1886,3,10,16,18,6,9,16,19,627 763 271 
05.06.2020 16:00,1885,1,3,12,20,2,14,19,20,626 998 953 
05.06.2020 13:00,1884,2,6,11,13,8,15,16,17,626 303 346 
05.06.2020 10:00,1883,1,4,14,20,2,12,17,18,625 282 128 
04.06.2020 22:00,1882,2,7,12,14,10,15,16,17,624 374 452 
04.06.2020 16:00,1881,3,5,10,14,5,9,17,19,623 711 477 
04.06.2020 13:00,1880,8,10,12,18,7,9,12,17,623 011 641 
04.06.2020 10:00,1879,1,5,12,13,6,7,18,20,621 952 004 
03.06.2020 22:00,1878,6,11,12,13,2,11,15,16,620 711 016 
03.06.2020 16:00,1877,4,8,14,18,11,15,16,20,620 039 726 
03.06.2020 13:00,1876,2,14,17,18,4,8,19,20,619 370 901 
03.06.2020 10:00,1875,1,10,16,18,1,5,9,12,618 313 519 
02.06.2020 22:00,1874,6,10,15,16,3,8,13,17,617 404 335 
02.06.2020 16:00,1873,2,4,16,20,6,16,18,20,616 732 086 
02.06.2020 13:00,1872,1,2,7,13,5,6,12,16,616 064 089 
02.06.2020 10:00,1871,3,13,14,17,5,9,15,20,615 052 876 
01.06.2020 22:00,1870,9,12,14,20,2,4,12,15,613 937 066 
01.06.2020 16:00,1869,7,8,11,17,7,10,17,19,613 285 729 
01.06.2020 13:00,1868,2,7,8,17,1,7,16,19,612 607 030 
01.06.2020 10:00,1867,1,6,17,19,3,4,5,13,611 673 974 
31.05.2020 22:00,1866,1,5,8,14,3,6,12,17,610 535 303 
31.05.2020 16:00,1865,1,4,6,10,8,10,19,20,609 800 227 
31.05.2020 13:00,1864,5,7,8,13,2,5,9,11,609 123 531 
31.05.2020 10:00,1863,4,6,11,18,4,5,15,19,608 244 806 
30.05.2020 22:00,1862,10,14,16,18,1,4,10,16,607 124 792 
30.05.2020 16:00,1861,1,8,10,20,3,4,6,20,606 452 519 
30.05.2020 13:00,1860,6,9,11,19,6,8,15,19,605 785 314 
30.05.2020 10:00,1859,6,10,19,20,5,7,15,18,604 787 613 
29.05.2020 22:00,1858,4,8,10,13,2,4,11,18,603 687 152 
29.05.2020 16:00,1857,11,14,15,20,2,13,19,20,603 035 663 
29.05.2020 13:00,1856,6,9,10,18,1,2,9,17,602 326 142 
29.05.2020 10:00,1855,6,7,14,19,5,10,12,20,601 355 348 
28.05.2020 22:00,1854,1,2,3,16,3,5,13,16,600 163 801 
28.05.2020 16:00,1853,3,4,5,6,1,2,6,18,599 395 384 
28.05.2020 13:00,1852,8,14,19,20,4,10,11,14,598 734 125 
28.05.2020 10:00,1851,3,4,13,20,2,11,14,17,597 932 718 
27.05.2020 22:00,1850,5,10,19,20,3,4,13,19,596 710 022 
27.05.2020 16:00,1849,6,7,9,20,4,8,15,17,596 116 745 
27.05.2020 13:00,1848,5,9,15,16,2,10,14,18,595 553 451 
27.05.2020 10:00,1847,1,7,12,18,5,6,7,13,594 618 076 
26.05.2020 22:00,1846,1,6,8,18,2,6,8,11,593 535 617 
26.05.2020 16:00,1845,1,6,7,12,7,8,11,13,592 919 271 
26.05.2020 13:00,1844,1,2,12,18,1,8,9,17,592 261 444 
26.05.2020 10:00,1843,1,7,11,12,4,8,13,19,591 249 351 
25.05.2020 22:00,1842,5,6,7,19,10,14,17,20,590 363 864 
25.05.2020 16:00,1841,4,9,15,17,2,4,18,20,589 746 183 
25.05.2020 13:00,1840,2,12,13,16,4,10,16,19,589 116 903 
25.05.2020 10:00,1839,5,7,18,19,2,6,16,18,588 227 666 
24.05.2020 22:00,1838,5,15,18,20,3,11,17,19,587 231 770 
24.05.2020 16:00,1837,4,12,16,19,2,3,14,19,586 607 953 
24.05.2020 13:00,1836,6,8,11,16,4,5,17,20,585 990 264 
24.05.2020 10:00,1835,2,4,7,13,1,9,10,16,585 144 150 
23.05.2020 22:00,1834,2,4,5,12,6,8,10,11,584 184 891 
23.05.2020 16:00,1833,7,9,14,17,2,6,16,18,583 567 057 
23.05.2020 13:00,1832,8,11,15,19,1,2,7,12,582 991 780 
23.05.2020 10:00,1831,2,9,14,17,3,7,12,16,582 218 451 
22.05.2020 22:00,1830,3,10,16,17,5,15,16,17,581 037 092 
22.05.2020 16:00,1829,9,13,14,16,3,5,13,17,580 484 191 
22.05.2020 13:00,1828,6,9,11,16,2,10,13,15,579 810 904 
22.05.2020 10:00,1827,6,8,12,15,7,16,17,20,578 844 523 
21.05.2020 22:00,1826,3,12,13,20,7,9,13,20,577 746 268 
21.05.2020 16:00,1825,2,7,13,19,5,9,13,17,577 207 948 
21.05.2020 13:00,1824,2,5,6,7,1,4,5,17,576 524 999 
21.05.2020 10:00,1823,2,3,5,15,3,5,7,8,575 535 020 
20.05.2020 22:00,1822,4,6,10,12,7,10,12,17,574 261 197 
20.05.2020 16:00,1821,4,6,7,12,6,14,19,20,573 675 959 
20.05.2020 13:00,1820,2,5,9,17,2,13,15,16,573 009 434 
20.05.2020 10:00,1819,8,14,16,18,3,17,18,20,572 046 240 
19.05.2020 22:00,1818,3,9,12,18,3,17,18,20,571 012 213 
19.05.2020 16:00,1817,5,8,13,19,1,7,13,17,570 402 787 
19.05.2020 13:00,1816,1,8,10,15,8,13,16,17,569 787 405 
19.05.2020 10:00,1815,2,8,9,16,2,4,5,7,568 850 082 
18.05.2020 22:00,1814,3,7,13,20,4,6,12,19,567 734 463 
18.05.2020 16:00,1813,3,8,13,19,2,4,14,19,567 159 840 
18.05.2020 13:00,1812,4,10,14,18,10,11,15,19,566 552 484 
18.05.2020 10:00,1811,7,12,17,19,6,11,13,16,565 555 555 
17.05.2020 22:00,1810,1,7,11,13,3,9,13,16,564 531 923 
17.05.2020 16:00,1809,1,10,12,16,10,11,16,17,563 907 119 
17.05.2020 13:00,1808,12,13,14,15,1,3,4,16,563 222 905 
17.05.2020 10:00,1807,3,9,11,13,1,8,10,18,562 559 218 
